country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB",2026-08-07 11:00:00,14.438164,79.966814,PM10,52.0,91.0,69.0
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-08-07 11:00:00,16.9872867,81.7363176,PM10,40.0,67.0,55.0
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-08-07 11:00:00,16.9872867,81.7363176,NO2,1.0,9.0,3.0
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-08-07 11:00:00,16.9872867,81.7363176,CO,12.0,16.0,14.0
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-08-07 11:00:00,13.615387,79.40923,SO2,7.0,19.0,9.0
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2026-08-07 11:00:00,16.509717,80.612222,NO2,20.0,26.0,23.0
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-08-07 11:00:00,16.536107,80.594233,PM10,63.0,79.0,71.0
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-08-07 11:00:00,16.536107,80.594233,NO2,18.0,27.0,20.0
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",2026-08-07 11:00:00,16.486692,80.699436,PM2.5,49.0,70.0,55.0
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",2026-08-07 11:00:00,16.486692,80.699436,NO2,23.0,32.0,25.0
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",2026-08-07 11:00:00,16.486692,80.699436,OZONE,17.0,22.0,18.0
